UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 00:45 ?        00:00:06 /usr/sbin/init
root           2       0  0 00:45 ?        00:00:00 [kthreadd]
root           3       2  0 00:45 ?        00:00:00 [pool_workqueue_release]
root           4       2  0 00:45 ?        00:00:00 [kworker/R-rcu_g]
root           5       2  0 00:45 ?        00:00:00 [kworker/R-rcu_p]
root           6       2  0 00:45 ?        00:00:00 [kworker/R-slub_]
root           7       2  0 00:45 ?        00:00:00 [kworker/R-netns]
root           9       2  0 00:45 ?        00:00:00 [kworker/0:0H-events_highpri]
root          12       2  0 00:45 ?        00:00:00 [kworker/R-mm_pe]
root          13       2  0 00:45 ?        00:00:00 [rcu_tasks_kthread]
root          14       2  0 00:45 ?        00:00:00 [rcu_tasks_trace_kthread]
root          15       2  0 00:45 ?        00:00:00 [ksoftirqd/0]
root          16       2  0 00:45 ?        00:00:19 [rcu_preempt]
root          17       2  0 00:45 ?        00:00:00 [migration/0]
root          18       2  0 00:45 ?        00:00:00 [cpuhp/0]
root          19       2  0 00:45 ?        00:00:00 [cpuhp/1]
root          20       2  0 00:45 ?        00:00:01 [migration/1]
root          21       2  0 00:45 ?        00:00:00 [ksoftirqd/1]
root          23       2  0 00:45 ?        00:00:00 [kworker/1:0H-kblockd]
root          24       2  0 00:45 ?        00:00:00 [cpuhp/2]
root          25       2  0 00:45 ?        00:00:01 [migration/2]
root          26       2  0 00:45 ?        00:00:00 [ksoftirqd/2]
root          28       2  0 00:45 ?        00:00:00 [kworker/2:0H-kblockd]
root          29       2  0 00:45 ?        00:00:00 [cpuhp/3]
root          30       2  0 00:45 ?        00:00:01 [migration/3]
root          31       2  0 00:45 ?        00:00:00 [ksoftirqd/3]
root          33       2  0 00:45 ?        00:00:00 [kworker/3:0H-kblockd]
root          34       2  0 00:45 ?        00:00:00 [kdevtmpfs]
root          35       2  0 00:45 ?        00:00:00 [kworker/R-inet_]
root          36       2  0 00:45 ?        00:00:00 [oom_reaper]
root          37       2  0 00:45 ?        00:00:00 [kworker/R-write]
root          38       2  0 00:45 ?        00:00:00 [kcompactd0]
root          39       2  0 00:45 ?        00:00:00 [ksmd]
root          40       2  0 00:45 ?        00:00:00 [khugepaged]
root          41       2  0 00:45 ?        00:00:00 [kworker/R-crypt]
root          42       2  0 00:45 ?        00:00:00 [kworker/R-kbloc]
root          49       2  0 00:45 ?        00:00:00 [kworker/0:1H-kblockd]
root          80       2  0 00:45 ?        00:00:00 [kswapd0]
root          83       2  0 00:45 ?        00:00:00 [kworker/R-kthro]
